# Representative (m k n) matmul shapes for the "big-64" device class
# (x86 desktop/server, Apple M, Neoverse). Extracted from real models via
# `tract <model> <args> -O dump --mm` (n>=2; n=1 is the mmv path). These anchor
# the fit on shapes that actually occur; regen unions them with a random sweep.
# To add a model: run dump --mm, append its distinct shapes under a new heading.

# parakeet encoder (S=100)
1024 1024 13
1024 4096 13
25 128 13
256 256 208
256 9 3200
4096 1024 13
800 256 256

# en_tdnn_pyt_15M (pulse 12)
1024 1792 4
16 20 456
16 48 456
256 256 84
256 768 28
4 3 960
576 1024 4
576 2304 4
576 576 4
64 192 204
64 80 204
768 1728 4
94 576 4

# inceptionv3
1225 192 32
1225 192 48
1225 192 64
1225 256 64
1225 288 64
1225 32 48
1225 32 64
1225 64 48
1225 64 64
1225 96 48
1225 96 64
128 896 289
160 1120 289
192 1120 289
192 1280 64
192 1344 289
192 1728 64
192 2048 64
192 720 5041
192 896 289
289 192 160
289 192 192
289 288 128
289 288 192
289 384 128
289 384 192
289 768 192
289 96 128
289 96 192
32 27 22201
32 288 21609
320 1728 64
320 192 64
320 320 64
320 768 64
384 1152 64
384 192 64
384 2592 289
384 320 64
384 4032 64
384 768 64
448 192 64
448 320 64
448 768 64
5329 64 80
64 1200 1225
64 288 21609
96 576 1225
96 864 1225
96 864 289

# mobilenet_v2
12544 24 144
12544 48 24
1344 224 49
1792 448 49
196 288 88
196 528 136
196 528 88
196 816 136
224 1344 49
224 816 49
3136 144 32
3136 192 32
3136 32 192
448 1344 49
48 27 12544
528 88 196
784 192 48
784 288 48
784 48 288
816 136 196

# trunet (pulse 1)
128 128 4
128 128 8
128 32 16
128 32 4
128 4 16
128 64 16
128 64 4
128 8 16
128 8 4
256 4 8
256 64 8
32 128 4
32 32 16
32 64 16
4 2 256
4 8 257
512 128 4
64 128 8
64 16 32
64 16 8
64 32 32
64 8 32
